	chromosome	start	end
314	1	17531621	17572500
315	1	17575593	17610728
316	1	17634690	17690499
317	1	17655507	17676070
318	1	17733256	17733878
319	1	17733256	17766220
320	1	17866330	18024369
321	1	18081808	18153558
322	1	18434240	18704977
323	1	18493423	18505840
324	1	18807424	18812478
325	1	18957500	19075360
326	1	19166093	19186176
327	1	19175767	19247615
328	1	19197926	19229275
329	1	19230775	19283180
330	1	19398604	19402005
331	1	19401000	19536770
332	1	19536995	19567198
333	1	19542158	19578046
334	1	19578033	19586622
335	1	19609052	19615744
336	1	19630459	19638640
337	1	19638820	19655794
338	1	19665267	19812066
339	1	19918296	19923326
340	1	19923473	19984549
341	1	19923477	19956314
342	1	19967048	19984945
343	1	19991780	20006055
344	1	20008706	20126438
345	1	20140523	20141771
346	1	20140860	20145995
347	1	20209006	20239438
348	1	20246502	20250110
349	1	20301925	20306932
350	1	20354672	20417683
351	1	20438432	20446050
352	1	20465819	20476879
353	1	20487746	20503917
354	1	20510735	20512979
355	1	20512578	20522541
356	1	20617412	20681387
357	1	20620704	20649680
358	1	20808884	20812713
359	1	20825943	20834654
360	1	20878932	20881512
361	1	20915441	20945401
362	1	20959948	20978004
363	1	20969150	20978686
364	1	20978270	20988000
365	1	20990507	21044510
366	1	21046225	21059330
367	1	21059373	21060445
368	1	21069154	21113816
369	1	21069480	21070455
370	1	21132963	21503377
371	1	21543740	21671997
372	1	21592575	21593744
373	1	21619783	21626267
374	1	21766621	21811498
375	1	21835858	21904905
376	1	21912965	21917680
377	1	21922708	21995801
378	1	22004791	22110099
379	1	22138758	22151714
380	1	22148738	22263790
381	1	22303514	22325135
382	1	22328149	22339032
383	1	22379120	22419437
384	1	22385690	22390692
385	1	22443798	22470462
386	1	22778344	22857650
387	1	22843967	22846201
388	1	22890057	22930087
389	1	22962999	22966101
390	1	22970123	22974603
391	1	22979255	22988031
392	1	23037332	23241818
393	1	23162206	23163342
394	1	23279536	23291831
395	1	23337327	23342343
396	1	23345941	23410182
397	1	23346640	23414551
398	1	23410516	23504301
399	1	23516993	23521222
400	1	23630264	23670829
401	1	23685941	23695935
402	1	23695490	23698332
403	1	23707554	23751233
404	1	23755056	23811061
405	1	23832922	23857712
406	1	23884409	23886285
407	1	23907985	23967058
408	1	24018269	24022915
409	1	24069645	24088549
410	1	24086872	24104777
411	1	24104895	24114722
412	1	24117460	24122029
413	1	24122089	24127271
414	1	24128375	24165110
415	1	24171567	24194784
416	1	24197016	24285549
417	1	24233601	24234375
418	1	24285599	24289952
419	1	24291294	24307417
420	1	24367325	24413289
421	1	24382525	24438665
422	1	24393264	24410055
423	1	24446261	24469611
424	1	24480647	24514449
425	1	24634046	24648391
426	1	24645812	24690972
427	1	24683489	24743424
428	1	24742284	24799466
429	1	24829387	24867530
430	1	24882602	24935819
431	1	24958207	24999758
432	1	25071848	25170815
433	1	25226002	25291612
434	1	25287836	25289588
435	1	25534630	25535360
436	1	25549170	25558993
437	1	25568728	25664704
438	1	25598884	25656936
439	1	25664408	25688852
440	1	25688740	25756683
441	1	25757388	25826700
442	1	25870071	25895377
443	1	25943959	26112698
444	1	25971035	25985602
445	1	26126667	26144713
446	1	26137961	26150235
447	1	26143240	26146263
448	1	26145131	26159432
449	1	26145212	26147288
450	1	26158404	26158625
451	1	26158414	26185903
452	1	26186104	26189911
453	1	26187701	26197744
454	1	26210672	26233482
455	1	26286258	26324648
456	1	26346375	26362955
457	1	26363743	26372624
458	1	26377795	26394927
459	1	26437664	26452034
460	1	26485511	26489119
461	1	26496362	26498551
462	1	26496438	26498312
463	1	26503894	26516377
464	1	26517052	26529459
465	1	26560691	26605299
466	1	26605667	26608007
467	1	26607819	26644854
468	1	26644448	26647014
469	1	26648350	26680621
470	1	26688125	26701013
471	1	26737269	26756213
472	1	26758773	26797785
473	1	26789247	26793773
474	1	26798941	26802463
475	1	26856252	26901521
476	1	27018623	27020622
477	1	27022524	27108595
478	1	27113963	27124889
479	1	27153201	27184093
480	1	27189633	27190947
481	1	27202624	27204736
482	1	27202624	27216788
483	1	27216979	27226957
484	1	27226729	27273353
485	1	27237980	27240457
486	1	27276053	27286897
487	1	27320198	27327389
488	1	27331511	27339327
489	1	27425306	27493472
490	1	27555597	27560843
491	1	27561007	27635110
492	1	27648651	27662891
493	1	27668513	27680421
494	1	27681675	27693383
495	1	27695603	27701315
496	1	27705666	27709870
497	1	27719148	27722318
498	1	27730730	27816669
499	1	27852316	27857072
500	1	27860546	27930942
501	1	27938575	27961788
502	1	27992572	27998729
503	1	27995979	27996787
504	1	28052490	28089633
505	1	28099694	28150963
506	1	28100369	28100552
507	1	28146494	28146852
508	1	28157289	28178187
509	1	28177085	28177255
510	1	28199055	28213196
511	1	28218035	28241257
512	1	28261504	28285668
513	1	28265386	28286704
514	1	28285973	28294607
515	1	28296855	28415207
516	1	28473677	28520447
517	1	28525967	28559536
518	1	28527013	28527152
519	1	28527070	28527419
520	1	28562620	28573417
521	1	28566020	28567964
522	1	28586038	28609002
523	1	28655513	28662476
524	1	28696114	28826881
525	1	28832455	28865812
526	1	28832492	28837404
527	1	28879597	28905051
528	1	28905050	28909495
529	1	28915835	28969597
530	1	28918712	28921955
531	1	28995244	29045865
532	1	29063133	29096287
533	1	29138654	29190208
534	1	29196995	29203848
535	1	29213603	29446553
536	1	29445940	29450447
537	1	29474255	29508499
538	1	29479001	29479503
539	1	29519385	29557454
540	1	29550445	29551328
541	1	29563028	29653325
542	1	31184124	31196434
543	1	31191351	31199674
544	1	31205316	31230667
545	1	31331005	31333101
546	1	31342314	31381608
547	1	31404353	31538838
548	1	31652592	31712401
549	1	31732417	31769662
550	1	31769842	31837783
551	1	31805914	31819646
552	1	31838472	31849697
553	1	31882412	31907525
554	1	31902192	31902614
555	1	32037186	32041174
556	1	32042116	32053288
557	1	32083287	32098119
558	1	32095463	32110497
559	1	32109650	32125539
560	1	32110295	32114972
561	1	32117848	32169920
562	1	32192718	32230494
563	1	32254731	32256923
564	1	32256023	32281652
565	1	32372022	32410457
566	1	32379174	32380745
567	1	32479430	32526451
568	1	32517892	32539075
569	1	32537632	32568467
570	1	32573639	32642169
571	1	32636334	32642169
572	1	32645287	32663886
573	1	32665987	32670988
574	1	32670370	32672415
575	1	32671236	32674288
576	1	32674695	32681797
577	1	32680073	32687972
578	1	32687529	32697205
579	1	32712834	32714457
580	1	32716840	32751766
581	1	32757687	32799236
582	1	32799433	32801980
583	1	32817122	32829913
584	1	32826871	32829879
585	1	32830704	32860332
586	1	32930658	33066393
587	1	32930670	32962287
588	1	33005028	33071540
589	1	33065773	33116504
590	1	33116743	33151812
591	1	33145507	33169197
592	1	33183335	33190838
593	1	33207486	33240571
594	1	33240840	33283754
595	1	33282368	33324476
596	1	33327869	33338083
597	1	33351595	33364042
598	1	33360195	33367039
599	1	33402046	33430286
600	1	33439268	33439642
601	1	33452676	33498070
602	1	33473585	33546597
603	1	33546705	33586131
604	1	33611003	33647660
605	1	33722146	33766320
606	1	33772367	33786699
607	1	33772967	33791644
608	1	33789224	33896653
609	1	33815953	33828846
610	1	33938246	33962107
611	1	33979609	34631443
612	1	34326076	34330392
613	1	34334554	34351059
614	1	34632484	34684732
615	1	35178338	35325417
616	1	35220648	35224113
617	1	35225342	35229325
618	1	35227027	35253698
619	1	35246790	35251970
620	1	35258599	35261348
621	1	35316295	35317156
622	1	35331037	35395186
623	1	35447134	35497342
624	1	35447136	35450954
625	1	35449523	35497569
626	1	35525387	35581460
627	1	35641979	35658749
628	1	35734568	35887659
629	1	35824423	35831678
630	1	35899091	36023551
631	1	36023074	36032875
632	1	36035414	36043330
633	1	36038971	36060929
634	1	36067185	36107445
635	1	36179476	36185073
636	1	36185819	36235568
637	1	36204990	36209177
638	1	36273773	36323491
639	1	36335409	36395211
640	1	36396319	36538101
641	1	36457710	36479231
642	1	36549676	36553876
643	1	36554476	36559533
644	1	36560837	36590821
645	1	36602173	36615098
646	1	36621180	36646450
647	1	36690017	36770958
648	1	36771988	36790484
649	1	36787632	36789755
650	1	36789335	36794822
651	1	36805225	36851497
652	1	36856839	36863493
653	1	36881428	36916086
654	1	36921319	36930038
655	1	36931644	36948879
656	1	37238741	37241369
657	1	37261128	37499730
658	1	37920480	37940012
659	1	37940153	37949980
660	1	37958176	37980375
661	1	38000050	38019903
662	1	38022520	38032458
663	1	38032417	38061536
664	1	38076951	38100595
665	1	38147242	38157914
666	1	38158090	38175391
667	1	38179552	38230805
668	1	38259474	38266809
669	1	38265392	38266551
670	1	38268616	38273857
671	1	38272651	38275126
672	1	38275239	38325292
673	1	38292232	38293886
674	1	38326369	38327252
675	1	38326369	38412729
676	1	38422647	38456593
677	1	38462442	38471278
678	1	38474930	38490496
679	1	38509523	38512450
680	1	39303870	39325495
681	1	39325672	39385068
682	1	39328636	39347289
683	1	39330175	39347289
684	1	39351479	39407471
685	1	39456895	39471731
686	1	39491990	39500308
687	1	39546988	39952849
688	1	39672184	39672629
689	1	39715510	39723321
690	1	39876151	39882154
691	1	39957318	39991607
692	1	39987952	40011859
693	1	40026488	40042462
694	1	40030832	40038875
695	1	40089825	40105617
696	1	40099088	40099575
697	1	40124793	40137710
698	1	40144320	40157361
699	1	40157854	40229586
700	1	40222854	40254533
701	1	40235195	40237020
702	1	40254648	40255843
703	1	40306723	40349183
704	1	40361098	40367928
705	1	40363417	40364770
706	1	40420802	40435638
707	1	40505905	40538321
708	1	40538379	40563375
709	1	40627045	40706593
710	1	40711619	40717363
711	1	40722099	40723639
712	1	40723779	40759856
713	1	40766159	40783488
714	1	40810522	40888998
715	1	40915774	40929390
716	1	40929991	40932436
717	1	40942887	40962015
718	1	40958829	40974333
719	1	40974413	40982228
720	1	40980133	40980729
721	1	40981426	40982846
722	1	40997233	41013841
723	1	41086351	41131329
724	1	41156052	41157738
725	1	41157320	41237275
726	1	41249684	41306124
727	1	41326729	41328018
728	1	41329586	41342342
729	1	41445007	41478235
730	1	41481269	41488909
731	1	41492872	41707826
732	1	41827594	41849262
733	1	41840676	41841341
734	1	41944446	41950344
735	1	41972036	42501596
736	1	42001114	42001539
737	1	42619092	42621495
738	1	42628362	42630389
739	1	42642210	42801548
740	1	42801057	42804047
741	1	42846466	42888249
742	1	42896000	42921938
743	1	42921788	42939056
744	1	42929001	43120335
745	1	43124096	43142429
746	1	43148098	43168020
747	1	43198764	43205925
748	1	43212006	43232755
749	1	43232940	43263968
750	1	43241484	43242461
751	1	43272723	43282954
752	1	43282795	43310660
753	1	43300352	43312093
754	1	43312280	43318148
755	1	43391052	43424530
756	1	43610824	43622067
757	1	43629846	43736607
758	1	43637820	43720029
759	1	43735665	43739673
760	1	43747554	43751288
761	1	43766664	43788779
762	1	43803478	43818443
763	1	43820355	43824329
764	1	43824626	43828874
765	1	43829068	43833696
766	1	43849588	43855479
767	1	43850784	43854826
768	1	43855553	43918321
769	1	43913447	43914315
770	1	43916824	43919660
771	1	43919598	43922666
772	1	43990858	44089343
773	1	44115829	44171186
774	1	44165436	44173809
775	1	44171495	44396831
776	1	44175063	44193014
777	1	44398992	44402913
778	1	44410042	44412223
779	1	44412611	44433694
780	1	44435672	44439041
781	1	44440159	44443967
782	1	44444615	44456840
783	1	44457031	44462200
784	1	44457172	44497139
785	1	44584522	44600812
786	1	44679127	44686353
787	1	44686742	44820932
788	1	44709080	44709945
789	1	44870866	45117396
790	1	45100910	45140227
791	1	45140364	45191263
792	1	45205490	45233439
793	1	45224709	45241482
794	1	45240923	45244451
795	1	45249257	45253377
796	1	45265897	45271662
797	1	45271585	45272957
798	1	45274154	45281257
799	1	45285516	45308735
800	1	45316450	45452282
801	1	45468212	45477001
802	1	45477819	45481247
803	1	45482071	45771881
804	1	45792545	45794347
805	1	45794835	45806142
806	1	45805342	45809647
807	1	45809555	45956872
808	1	45959538	45965751
809	1	45965725	45976739
810	1	45976708	45988719
811	1	46016215	46035721
812	1	46049518	46084566
813	1	46085716	46089729
814	1	46092976	46153785
815	1	46152886	46160115
816	1	46159996	46216322
817	1	46160356	46162747
818	1	46252659	46501796
819	1	46505812	46642160
820	1	46512490	46514040
821	1	46600203	46604753
822	1	46640745	46651630
823	1	46641158	46642150
824	1	46654354	46685977
825	1	46669006	46686933
826	1	46713360	46744145
827	1	46726868	46769280
828	1	46769303	46782448
829	1	46805849	46830824
830	1	46859937	46879520
831	1	46972668	46979898
832	1	47004368	47035927
833	1	47011316	47017199
834	1	47023090	47082515
835	1	47073387	47082563
836	1	47098409	47139539
837	1	47124366	47184824
838	1	47134527	47139266
839	1	47139708	47157770
840	1	47223510	47285085
841	1	47394849	47407156
842	1	47427036	47516423
843	1	47533160	47583991
844	1	47603107	47615413
845	1	47644922	47646011
846	1	47649265	47656716
847	1	47681962	47697892
848	1	47691469	47696422
849	1	47715811	47779819
850	1	47799469	47844511
851	1	47846600	47874149
852	1	47881744	47883723
853	1	47897805	47900313
854	1	47901689	47906363
855	1	48226200	48462567
856	1	48226979	48227290
857	1	48569306	48569878
858	1	48688357	48714316
859	1	48693560	48695233
860	1	48761044	48937845
861	1	48998527	50489585
862	1	49193195	49242641
863	1	49513988	49653257
864	1	49723083	49734957
865	1	49839873	49937757
866	1	50459990	50461874
867	1	50513686	50669458
868	1	50639978	50641540
869	1	50671756	50688799
870	1	50883222	50889172
871	1	50905150	51425935
872	1	50927141	50936822
873	1	51426417	51440305
874	1	51567906	51613752
875	1	51701943	51739127
876	1	51730588	51731746
877	1	51752930	51810788
878	1	51795326	51800996
879	1	51819935	51985000
880	1	51927393	51929088
881	1	51983981	52027301
882	1	52042851	52254889
883	1	52254863	52344477
884	1	52259637	52264824
885	1	52266700	52266979
886	1	52373628	52456436
887	1	52485803	52521843
888	1	52497775	52499488
889	1	52499063	52509951
890	1	52516590	52518355
891	1	52521797	52556388
892	1	52608046	52812358
893	1	52811395	52831865
894	1	52819159	52819549
895	1	52838501	52870131
896	1	52870236	52886511
897	1	52873954	53019159
898	1	53068044	53074723
899	1	53099016	53135355
900	1	53152508	53164038
901	1	53192126	53293014
902	1	53308183	53360670
903	1	53346888	53347402
904	1	53361656	53392884
905	1	53392901	53517375
906	1	53527854	53551174
907	1	53535610	53551174
908	1	53552855	53608289
909	1	53580248	53584281
910	1	53662101	53679869
911	1	53676128	53679447
912	1	53679771	53686289
913	1	53686335	53689925
914	1	53692564	53704282
915	1	53704282	53708455
916	1	53711217	53793742
917	1	53733607	53734273
918	1	53753696	53755378
919	1	53757463	53757810
920	1	53770208	53773134
921	1	53925072	53933161
922	1	53971910	54199877
923	1	54231133	54304533
924	1	54317392	54356407
925	1	54356912	54376759
926	1	54382247	54411602
927	1	54411750	54433841
928	1	54474412	54483856
929	1	54497347	54519177
930	1	54519260	54578192
931	1	54569968	54571750
932	1	54598747	54619443
933	1	54606897	54665746
934	1	54635333	54637997
935	1	54638009	54665709
936	1	54649714	54691137
937	1	54691105	54879152
938	1	54703710	54704736
939	1	54751078	54753044
940	1	55007930	55104865
941	1	55074855	55089229
942	1	55087150	55094111
943	1	55107459	55207981
944	1	55107463	55175939
945	1	55181495	55208330
946	1	55222571	55230187
947	1	55245385	55266940
948	1	55258558	55260578
949	1	55271736	55307925
950	1	55315306	55352891
951	1	55352548	55353674
952	1	55353236	55354523
953	1	55446465	55457966
954	1	55446623	55457947
955	1	55464606	55476556
956	1	55505221	55530525
957	1	55532032	55680786
958	1	56960419	57110974
959	1	57110995	57181008
960	1	57184477	57285369
961	1	57289352	57292593
962	1	57320479	57383894
963	1	57394883	57431813
964	1	57429559	57462430
965	1	57460451	59012406
966	1	58326204	58346577
967	1	58881056	59012474
968	1	59041099	59043166
969	1	59120411	59165764
970	1	59246465	59249785
971	1	59762310	60233347
972	1	60220419	60254854
973	1	60280458	60342050
974	1	60358980	60392462
975	1	60452941	60539442
976	1	61330931	61928465
977	1	61405911	61436448
978	1	61590405	61590874
979	1	62146718	62191095
980	1	62208149	62629592
981	1	62660503	62678000
982	1	62702651	62785085
983	1	62901968	62917475
984	1	62920399	63153969
985	1	63063158	63071830
986	1	63073437	63075249
987	1	63154153	63176365
988	1	63249806	63331184
989	1	63786555	63790112
990	1	63788730	63790797
991	1	63833261	63904233
992	1	63906441	64059392
993	1	63989043	64038364
994	1	64014588	64015405
995	1	64058947	64125916
996	1	64239693	64647181
997	1	64560125	64636980
998	1	64669310	64733051
999	1	64936428	65158741
1000	1	65210778	65298915
1001	1	65298912	65432187
1002	1	65613232	65697828
1003	1	65713902	65881552
1004	1	65745139	65772204
1005	1	65886248	66107242
1006	1	65886270	65901690
1007	1	65952089	65959871
1008	1	66258197	66840259
1009	1	66508183	66516401
1010	1	66999066	67213982
1011	1	67131547	67142710
1012	1	67218142	67244470
1013	1	67263424	67266939
1014	1	67278568	67390570
1015	1	67292625	67294241
1016	1	67390578	67454302
1017	1	67465015	67519782
1018	1	67557848	67697536
1019	1	67632083	67725662
1020	1	67773047	67862583
1021	1	67873493	67896098
1022	1	68150744	68154021
1023	1	68167149	68299150
1024	1	68297986	68668670
1025	1	68511645	68517314
1026	1	68564142	68698803
1027	1	68894505	68915642
1028	1	68939835	68962904
1029	1	68944812	68949222
1030	1	68962359	69004310
1031	1	70034081	70617628
1032	1	70479665	70496905
1033	1	70610488	70671303
1034	1	70671365	70718735
1035	1	70684272	70686706
1036	1	70726271	70820417
1037	1	70820488	70851022
1038	1	70825245	70826120
1039	1	70876901	70905534
1040	1	71318036	71513491
1041	1	71413062	71417176
1042	1	71471537	71472185
1043	1	71514538	71532867
1044	1	71528974	71546980
1045	1	71861623	72748417
1046	1	72036639	72039241
1047	1	72259915	72302695
1048	1	74491699	74663871
1049	1	74663896	74699770
1050	1	74663919	75009666
1051	1	74663947	75010112
1052	1	74807263	74844486
1053	1	74933879	74935227
1054	1	74935562	74978298
1055	1	75033795	75139422
1056	1	75055419	75087403
1057	1	75171170	75199092
1058	1	75198836	75232362
1059	1	75593515	75598743
1060	1	75594119	75627218
1061	1	75595659	75598261
1062	1	75667816	76076801
1063	1	76175688	76189696
1064	1	76190036	76253260
1065	1	76251879	76260764
1066	1	76262567	76378923
1067	1	76384558	76398116
1068	1	76540404	77100286
1069	1	77333126	77531396
1070	1	77533605	77544167
1071	1	77554675	77685115
1072	1	77747736	78025651
1073	1	77811731	77815270
1074	1	78028101	78149104
1075	1	78161672	78225537
1076	1	78245309	78344106
1077	1	78347033	78355224
1078	1	78354198	78409580
1079	1	78409740	78444794
1080	1	78444859	78483648
1081	1	78445226	78604133
1082	1	78470030	78470238
1083	1	78769568	79005434
1084	1	79085607	79111830
1085	1	79115481	79129763
1086	1	79355449	79472403
1087	1	81771845	82458120
1088	1	81970784	81971981
1089	1	81979565	82023387
1090	1	82051626	82091398
1091	1	84330711	84464833
1092	1	84444801	84449983
1093	1	84543745	84704181
1094	1	84764049	84855640
1095	1	84864215	84880701
1096	1	84944942	84963473
1097	1	84964008	84972248
1098	1	85015289	85040163
1099	1	85093913	85100703
1100	1	85109390	85156486
1101	1	85277285	85358896
1102	1	85391268	85462796
1103	1	85464830	85598821
1104	1	85483765	85514182
1105	1	85622556	85666729
1106	1	85715639	85725355
1107	1	85731931	85742773
1108	1	85742398	85913807
1109	1	85784164	86043933
1110	1	86046444	86049645
1111	1	86115106	86174116
1112	1	86194916	86622626
1113	1	86814344	86862023
1114	1	86889769	86922241
1115	1	86934051	86965972
1116	1	87012761	87046437
1117	1	87036864	87158886
1118	1	87169185	87170145
1119	1	87170259	87213867
1120	1	87328132	87380107
1121	1	87380331	87602334
1122	1	87409368	87410425
1123	1	87458692	87634884
1124	1	87794151	87814606
1125	1	89003196	89150887
1126	1	89149905	89301938
1127	1	89318615	89357627
1128	1	89401456	89458636
1129	1	89445139	89458643
1130	1	89472349	89488577
1131	1	89518002	89531043
1132	1	89571815	89616139
1133	1	89597434	89641723
1134	1	89646831	89664615
1135	1	89724633	89738544
1136	1	89726265	89735437
1137	1	89829617	89852020
1138	1	89990395	90063423
1139	1	90048800	90098453
1140	1	90095284	90141945
1141	1	90098631	90235462
1142	1	90098699	90398809
1143	1	90254473	90256051
1144	1	90286573	90402170
1145	1	90460671	90501090
1146	1	91177096	91182794
1147	1	91380859	91487829
1148	1	91726323	91870426
1149	1	91966408	91991321
1150	1	92145902	92371892
1151	1	92414928	92479983
1152	1	92495539	92529093
1153	1	92545862	92613393
1154	1	92632542	92650280
